age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,is_male,device_type_num,outcome
58,0.003956460188507132,other,M,1,77653,2,3,4,1,4,0
50,0.00506238594958691,Android,F,1,53776,1,1,14,0,0,1
42,0.005342226104511223,Android,F,0,47181,1,2,5,0,0,0
39,0.004992922044989075,desktop,F,0,78647,1,3,6,0,1,0
20,0.005157019760526673,other,F,0,39869,1,3,1,0,4,0
16,0.005075126459593557,other,F,0,41993,1,1,0,0,4,0
51,0.0037715616273853525,other,M,1,71212,2,2,11,1,4,1
48,0.003792922018870191,other,M,1,72294,1,2,6,1,4,0
18,0.0033324114101841436,desktop,M,0,37345,1,3,1,1,1,0
37,0.004627326757634883,other,F,0,59122,1,2,10,0,4,0
47,0.003958316321254133,Android,M,1,82818,1,2,4,1,0,0
50,0.004637491530496961,desktop,F,0,77026,1,3,0,0,1,0
56,0.004933200692686812,desktop,F,0,85885,1,1,16,0,1,0
55,0.003961338508217417,desktop,M,1,91152,2,3,17,1,1,0
17,0.003277016428694493,desktop,M,1,28748,2,3,0,1,1,1
22,0.0044873247366766355,laptop,F,0,45228,1,1,2,0,3,0
41,0.0037099746403399234,other,M,0,55801,2,2,3,1,4,0
21,0.003266114939128966,other,M,0,52195,2,1,2,1,4,0
16,0.0050791522154402125,other,F,0,50613,2,1,0,0,4,0
30,0.004199311650865008,Android,M,0,48374,2,3,1,1,0,0
52,0.005272254469846865,desktop,F,0,61449,2,1,18,0,1,0
41,0.005087034965876682,laptop,F,0,66503,1,2,9,0,3,0
50,0.0035976857873580475,desktop,M,1,53519,1,2,11,1,1,0
30,0.004790603456110793,Android,F,0,59527,2,2,4,0,0,0
38,0.0041780551738027465,laptop,M,1,57357,1,2,1,1,3,0
20,0.0035166782286815365,other,,0,45534,1,2,0,0,4,0
22,0.0043525070044941995,other,F,0,28699,2,1,2,0,4,0
27,0.004824219805397572,desktop,F,1,50194,2,2,0,0,1,0
54,0.004264843844034792,Android,M,1,59550,1,2,12,1,0,0
51,0.003811131265375069,other,M,0,68623,1,3,4,1,4,0
47,0.004954231313933928,other,F,0,66644,1,1,13,0,4,0
20,0.003657861632905695,other,M,1,32815,1,2,2,1,4,0
24,0.004680222921481254,Android,F,1,45596,2,1,3,0,0,0
43,0.0036076372713191407,laptop,M,0,63590,2,2,7,1,3,0
41,0.004690300146464218,laptop,F,1,65645,2,2,5,0,3,0
41,0.0034369161086753356,laptop,M,1,77051,1,1,2,1,3,0
45,0.00358917912269634,desktop,M,0,77722,2,2,10,1,1,0
35,0.004340700614436968,other,M,0,64430,1,2,1,1,4,0
46,0.004053819943354877,laptop,M,1,81186,2,3,11,1,3,0
21,0.006693608205951982,iPhone,F,0,57911,2,1,0,0,2,0
59,0.0038120010795494636,desktop,M,1,75956,2,2,3,1,1,1
49,0.004834967387599518,other,F,0,58879,2,2,16,0,4,0
17,0.004518328652321475,other,F,1,26284,2,1,0,0,4,0
37,0.004091993943279708,Android,M,1,65715,2,1,1,1,0,0
44,0.005087969917277713,desktop,F,1,66483,2,1,0,0,1,0
59,0.00492098965555317,laptop,F,0,69494,1,3,17,0,3,0
43,0.006325582378128113,iPhone,F,1,71320,2,1,10,0,2,0
55,0.0038283448305154255,other,M,0,68486,2,2,6,1,4,0
20,0.003313954970705162,Android,M,0,49986,1,3,0,1,0,0
58,0.004167004714565218,laptop,M,1,83725,2,3,19,1,3,0
38,0.005052110081716983,Android,F,1,43554,1,2,9,0,0,1
36,0.004870824869487161,desktop,F,0,45264,2,1,5,0,1,0
42,0.005113432926529356,other,F,0,77217,2,3,7,0,4,0
57,0.0038845800146608445,other,M,0,69261,1,3,4,1,4,0
44,0.00440382908941494,other,M,0,69162,1,2,3,1,4,0
48,0.003562670625786467,other,M,1,58961,2,2,15,1,4,0
17,0.003950740197429965,Android,M,0,28023,1,2,0,1,0,0
52,0.005343282807997566,laptop,F,1,87593,1,3,8,0,3,0
39,0.005125988697633674,laptop,F,0,45711,2,3,6,0,3,0
57,0.004009069903383333,other,M,0,62700,1,2,11,1,4,0
23,0.003846151199782155,laptop,,0,33877,2,1,3,0,3,0
29,0.004458377364603085,laptop,F,0,64308,2,1,4,0,3,0
34,0.004258768711829826,laptop,M,1,60974,2,3,2,1,3,0
33,0.006591473587479857,iPhone,F,0,49223,1,3,5,0,2,0
59,0.003965172327846227,laptop,,1,86146,1,2,8,0,3,0
20,0.004781955544668981,Android,F,0,41449,2,2,1,0,0,0
21,0.004178128580075824,desktop,M,1,35275,2,3,1,1,1,1
29,0.004420594250307546,Android,F,1,66875,2,2,4,0,0,0
47,0.0035942371792303984,desktop,M,1,48067,1,3,14,1,1,0
26,0.004142147764041999,other,M,1,34645,1,2,5,1,4,0
35,0.004014508811412754,Android,M,0,59369,1,2,1,1,0,0
57,0.004273698039764045,Android,M,0,62976,2,1,13,1,0,1
16,0.006339982725121579,iPhone,F,0,50042,1,2,0,0,2,0
16,0.004230828305400513,desktop,F,0,47306,2,3,0,0,1,0
40,0.003537129294743546,desktop,M,0,59611,1,3,5,1,1,0
24,0.003962432026364322,laptop,M,0,47015,1,1,3,1,3,0
56,0.006812445646547952,iPhone,F,0,65175,2,2,3,0,2,0
53,0.004174620568187898,Android,M,1,71151,2,2,7,1,0,0
31,0.004605542051242066,Android,F,1,56673,1,3,3,0,0,0
19,0.004261012001695383,desktop,F,0,57923,2,2,1,0,1,0
16,0.003706356221161351,other,M,1,39947,1,2,0,1,4,0
27,0.003485742938517234,laptop,M,1,44182,1,1,0,1,3,0
19,0.003272427811924646,laptop,M,1,45363,2,3,1,1,3,0
50,0.005474313384354563,Android,F,0,63316,1,2,16,0,0,0
25,0.004494479753719366,Android,F,1,28794,1,2,1,0,0,0
43,0.005137900607118098,Android,F,0,43830,1,2,1,0,0,0
60,0.004766962954192381,Android,F,0,76990,2,1,16,0,0,0
24,0.00476385421144867,desktop,F,1,41824,1,3,3,0,1,0
32,0.005179359782687471,laptop,F,0,64742,2,2,0,0,3,0
26,0.003488404423153251,desktop,M,1,33558,2,1,5,1,1,1
48,0.005362979474367399,iPhone,M,0,71853,1,1,15,1,2,0
25,0.005665854764880896,iPhone,M,0,52279,2,1,1,1,2,1
36,0.0035393443502723058,desktop,M,1,39451,2,1,10,1,1,0
49,0.0035763855224333063,other,M,0,70449,1,2,9,1,4,0
45,0.004189575986733418,Android,M,0,64917,1,2,12,1,0,0
31,0.004816377882751804,iPhone,M,1,40867,2,2,3,1,2,0
42,0.005269005987778922,desktop,F,0,66659,2,1,0,0,1,0
35,0.005061652474700102,other,F,0,44330,1,1,0,0,4,0
21,0.004790770627376266,Android,F,0,26564,2,1,2,0,0,0
48,0.005142443928153949,desktop,F,0,76507,2,3,1,0,1,0
24,0.0046927578523155745,Android,F,0,44844,2,2,2,0,0,0
30,0.003464374980699768,laptop,M,0,36924,1,1,2,1,3,0
45,0.003901917076917795,laptop,M,1,58607,1,2,12,1,3,0
45,0.005990329808108664,iPhone,F,1,84538,1,1,13,0,2,0
36,0.005037183376989072,Android,F,0,39208,1,1,8,0,0,0
32,0.004414725276992047,other,F,0,48374,2,1,8,0,4,0
22,0.004043673415188356,desktop,M,0,34984,1,1,1,1,1,0
39,0.005292496081933281,desktop,F,0,51959,2,3,1,0,1,0
44,0.0036079892087290564,desktop,M,0,47318,2,1,7,1,1,0
52,0.004692807211830789,other,F,1,79961,2,3,12,0,4,0
29,0.004937278400474081,other,F,0,45107,2,2,0,0,4,0
47,0.004607236017132065,desktop,F,1,72101,2,3,8,0,1,0
28,0.0040614351058354935,other,M,0,63685,1,3,3,1,4,0
38,0.0060990201880730946,iPhone,F,1,77132,2,2,5,0,2,0
33,0.003577857054001573,laptop,M,0,39562,2,2,2,1,3,0
31,0.005745206032091545,iPhone,M,1,54252,1,3,6,1,2,0
27,0.005217558735070015,Android,F,0,50047,2,1,0,0,0,1
52,0.00401043642012748,other,M,0,63505,1,3,9,1,4,0
21,0.004541733993574204,desktop,F,0,21044,1,1,1,0,1,0
55,0.005197712018986115,iPhone,M,0,56436,2,1,1,1,2,0
25,0.004351032170180687,desktop,F,0,63405,2,3,3,0,1,0
35,0.003524202670955531,other,,1,55793,1,1,7,0,4,0
51,0.004687708288496964,other,F,1,59345,1,1,9,0,4,0
16,0.005299646772783624,iPhone,M,1,30476,1,3,0,1,2,0
22,0.004387887416751584,desktop,F,1,42939,2,1,2,0,1,0
21,0.004560481161897317,Android,F,1,25442,1,2,0,0,0,0
22,0.003713081993473848,other,M,0,49133,2,1,1,1,4,0
40,0.0040509695631134775,desktop,M,1,77883,2,3,12,1,1,0
59,0.003908716907956658,desktop,M,0,60315,2,1,9,1,1,0
22,0.004161834143535228,other,M,0,57851,1,2,0,1,4,0
21,0.004817317625654886,desktop,F,1,31813,2,3,2,0,1,0
43,0.005127196703807357,Android,F,0,69822,1,1,3,0,0,0
50,0.004892902214614823,Android,F,1,53252,2,3,3,0,0,0
51,0.003804549448966215,Android,M,1,56742,1,1,13,1,0,1
58,0.005557057695999265,desktop,F,1,77124,1,1,5,0,1,0
46,0.005101866382540211,other,F,0,51972,2,2,8,0,4,0
40,0.004663295966682884,Android,F,0,42924,2,2,7,0,0,0
45,0.004535707311839917,laptop,F,1,51337,2,1,2,0,3,1
38,0.004798632074934451,laptop,F,1,72247,1,3,6,0,3,0
50,0.005402777201339155,other,F,1,75873,1,3,2,0,4,0
18,0.00480618599863854,iPhone,M,0,30630,2,1,0,1,2,0
43,0.005187886359987777,iPhone,,0,81997,2,3,2,0,2,0
20,0.003658157181122615,laptop,M,0,54058,2,2,1,1,3,0
16,0.006222683759477323,iPhone,F,1,22922,2,1,0,0,2,0
